L3_options_20190815
UnderlyingSymbol,UnderlyingPrice,Flags,OptionSymbol,Type,Expiration, DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest,IVMean,IVBid,IVAsk,Delta,Gamma,Theta,Vega,AKA
A,69.59,*,A190816C00042500,call,08/16/2019,08/15/2019,42.5,0,25.05,29.5,0,0,0,1.0356,0,16.8732,1,0,-0.9762,0,A190816C00042500
A,69.59,*,A190816P00042500,put,08/16/2019,08/15/2019,42.5,0,0,0.04,0,0,0,1.2329,0,7.0399,0,0,0,0,A190816P00042500
A,69.59,*,A190816C00045000,call,08/16/2019,08/15/2019,45,0,22.35,27,0,0,0,1.0356,0,15.4143,1,0,-1.0336,0,A190816C00045000
A,69.59,*,A190816P00045000,put,08/16/2019,08/15/2019,45,0,0,0.04,0,0,0,1.2329,0,6.2996,0,0,0,0,A190816P00045000
A,69.59,*,A190816C00047500,call,08/16/2019,08/15/2019,47.5,0,19.85,24.4,0,0,0,1.0356,0,13.8022,1,0,-1.091,0,A190816C00047500
A,69.59,*,A190816P00047500,put,08/16/2019,08/15/2019,47.5,0.12,0,0.04,0,29,29,1.2329,0,5.5947,0,0,0,0,A190816P00047500
A,69.59,*,A190816C00050000,call,08/16/2019,08/15/2019,50,21.05,17.3,21.25,2,9,7,1.0356,0,11.0532,1,0,-1.1484,0,A190816C00050000
A,69.59,*,A190816P00050000,put,08/16/2019,08/15/2019,50,0.07,0,0.01,0,19,19,1.2329,0,4.1668,0,0,0,0,A190816P00050000
A,69.59,*,A190816C00055000,call,08/16/2019,08/15/2019,55,0,12.5,16.95,0,0,0,1.0356,0,10.0757,1,0,-1.2633,0,A190816C00055000
A,69.59,*,A190816P00055000,put,08/16/2019,08/15/2019,55,0.1,0,0.01,0,216,216,1.2329,0,3.0612,0,0,0,0,A190816P00055000
A,69.59,*,A190816C00057500,call,08/16/2019,08/15/2019,57.5,16.75,9.7,12.85,0,2,2,1.0356,0,5.7597,1,0,-1.3207,0,A190816C00057500
A,69.59,*,A190816P00057500,put,08/16/2019,08/15/2019,57.5,0.01,0,0.01,132,323,294,1.2329,0,2.5359,0,0,-0.001,0,A190816P00057500
A,69.59,*,A190816C00060000,call,08/16/2019,08/15/2019,60,6.7,8,11.25,0,29,29,1.0356,0,6.5218,1,0,-1.384,0,A190816C00060000
A,69.59,*,A190816P00060000,put,08/16/2019,08/15/2019,60,0.02,0.01,0.03,200,952,922,1.2329,2.0245,2.3426,0,0.0001,-0.1908,0.0003,A190816P00060000
A,69.59,*,A190816C00062500,call,08/16/2019,08/15/2019,62.5,6.8,6.85,7.55,48,67,57,1.0356,0,3.2728,0.9997,0.0005,-2.6738,0.0022,A190816C00062500
A,69.59,*,A190816P00062500,put,08/16/2019,08/15/2019,62.5,0.02,0,0.05,150,1240,1175,1.2329,0,1.9351,-0.0018,0.0023,-8.3678,0.0124,A190816P00062500
A,69.59,*,A190816C00065000,call,08/16/2019,08/15/2019,65,4.55,4.3,4.95,107,335,283,1.0356,0,2.2099,0.986,0.0164,-44.0866,0.0752,A190816C00065000
A,69.59,*,A190816P00065000,put,08/16/2019,08/15/2019,65,0.05,0.02,0.05,1464,3710,3662,1.2329,1.134,1.3318,-0.0321,0.0278,-102.1404,0.1514,A190816P00065000
A,69.59,*,A190816C00067500,call,08/16/2019,08/15/2019,67.5,2.65,1.93,2.44,106,499,423,1.0356,0,1.3187,0.8391,0.1121,-292.5004,0.5136,A190816C00067500
A,69.59,*,A190816P00067500,put,08/16/2019,08/15/2019,67.5,0.1,0.07,0.17,276,2018,2052,0.8844,0.7675,1.0013,-0.124,0.1101,-208.2765,0.4306,A190816P00067500
A,69.59,*,A190816C00070000,call,08/16/2019,08/15/2019,70,0.4,0.37,0.46,926,2416,1984,0.7095,0.654,0.7651,0.3966,0.2583,-315.507,0.8106,A190816C00070000
A,69.59,*,A190816P00070000,put,08/16/2019,08/15/2019,70,0.82,0.74,0.92,224,1224,1203,0.717,0.606,0.8281,-0.6023,0.2558,-317.4759,0.8112,A190816P00070000
A,69.59,*,A190816C00072500,call,08/16/2019,08/15/2019,72.5,0.1,0.07,0.12,1212,1089,1231,1.019,0.9482,1.0898,0.0944,0.0785,-197.5045,0.3537,A190816C00072500
A,69.59,*,A190816P00072500,put,08/16/2019,08/15/2019,72.5,2.39,2.67,3.4,33,697,691,0.9777,0,1.7801,-0.9148,0.0758,-173.9247,0.3278,A190816P00072500
A,69.59,*,A190816C00075000,call,08/16/2019,08/15/2019,75,0.01,0,0.01,367,1307,1420,1.0356,0,1.0989,0.0088,0.0109,-28.2963,0.0499,A190816C00075000
A,69.59,*,A190816P00075000,put,08/16/2019,08/15/2019,75,3.75,5.15,5.7,182,284,252,0.9777,0,2.1529,-0.9941,0.0081,-17.1265,0.0352,A190816P00075000
A,69.59,*,A190816C00077500,call,08/16/2019,08/15/2019,77.5,0.03,0,0.04,75,3127,3121,1.0356,0,1.8318,0.0003,0.0005,-1.3558,0.0024,A190816C00077500
A,69.59,*,A190816P00077500,put,08/16/2019,08/15/2019,77.5,7.95,7.55,8.2,3,150,145,0.9777,0,2.7787,-0.9999,0.0003,1.1578,0.0012,A190816P00077500
A,69.59,*,A190816C00080000,call,08/16/2019,08/15/2019,80,0.01,0,0.01,16,3979,3969,1.0356,0,1.8846,0,0,-0.0251,0,A190816C00080000
A,69.59,*,A190816P00080000,put,08/16/2019,08/15/2019,80,9.73,8.55,12.75,0,4,4,0.9777,0,6.9065,-1,0,1.8304,0,A190816P00080000
A,69.59,*,A190816C00082500,call,08/16/2019,08/15/2019,82.5,0.03,0,0.04,0,1331,1331,1.0356,0,2.6844,0,0,-0.0002,0,A190816C00082500
A,69.59,*,A190816P00082500,put,08/16/2019,08/15/2019,82.5,12.21,10.5,15.1,0,0,0,0.9777,0,7.4274,-1,0,1.8949,0,A190816P00082500
A,69.59,*,A190816C00085000,call,08/16/2019,08/15/2019,85,0.01,0,0.04,0,748,748,1.0356,0,3.0759,0,0,0,0,A190816C00085000
A,69.59,*,A190816P00085000,put,08/16/2019,08/15/2019,85,8.75,13,17.55,0,0,0,0.9777,0,8.0329,-1,0,1.9523,0,A190816P00085000
A,69.59,*,A190816C00087500,call,08/16/2019,08/15/2019,87.5,0.04,0,0.04,0,196,196,1.0356,0,3.4486,0,0,0,0,A190816C00087500
A,69.59,*,A190816P00087500,put,08/16/2019,08/15/2019,87.5,7.6,15.5,20.2,0,0,0,0.9777,0,8.9034,-1,0,2.0097,0,A190816P00087500
A,69.59,*,A190816C00090000,call,08/16/2019,08/15/2019,90,0.01,0,0.04,0,150,150,1.0356,0,3.8049,0,0,0,0,A190816C00090000
A,69.59,*,A190816P00090000,put,08/16/2019,08/15/2019,90,14,18,22.55,0,0,0,0.9777,0,9.2714,-1,0,2.0672,0,A190816P00090000
A,69.59,*,A190816C00095000,call,08/16/2019,08/15/2019,95,0.34,0,0.04,0,17,17,1.0356,0,4.4748,0,0,0,0,A190816C00095000
A,69.59,*,A190816P00095000,put,08/16/2019,08/15/2019,95,15.7,23.15,27.65,0,0,0,0.9777,0,10.551,-1,0,2.182,0,A190816P00095000
A,69.59,*,A190920C00055000,call,09/20/2019,08/15/2019,55,0,12.6,17.15,0,0,0,0.468,0,0.9984,0.9558,0.0092,-6.0748,2.0227,A190920C00055000
A,69.59,*,A190920P00055000,put,09/20/2019,08/15/2019,55,0.11,0.08,0.2,15,25,21,0.4343,0.3976,0.471,-0.034,0.008,-3.6055,1.6329,A190920P00055000
A,69.59,*,A190920C00060000,call,09/20/2019,08/15/2019,60,10.57,9.55,10.85,6,3,4,0.3805,0,0.5459,0.9083,0.02,-8.2259,3.5647,A190920C00060000
A,69.59,*,A190920P00060000,put,09/20/2019,08/15/2019,60,0.35,0.29,0.38,57,174,154,0.3703,0.3571,0.3835,-0.0863,0.0196,-6.3722,3.4078,A190920P00060000
A,69.59,*,A190920C00062500,call,09/20/2019,08/15/2019,62.5,9.24,7.55,8.1,5,8,8,0.3468,0.29,0.4036,0.8578,0.03,-9.9166,4.8708,A190920C00062500
A,69.59,*,A190920P00062500,put,09/20/2019,08/15/2019,62.5,0.53,0.51,0.65,55,3041,3014,0.3479,0.3336,0.3622,-0.1429,0.03,-8.5392,4.8866,A190920P00062500
A,69.59,*,A190920C00065000,call,09/20/2019,08/15/2019,65,5.73,5.45,5.9,27,35,16,0.3189,0.2839,0.3539,0.7763,0.0433,-11.7718,6.4725,A190920C00065000
A,69.59,*,A190920P00065000,put,09/20/2019,08/15/2019,65,0.9,0.85,1.02,213,393,360,0.3187,0.3055,0.3318,-0.2236,0.0433,-10.2723,6.4705,A190920P00065000
